---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
34,2,0,0,0,0
74,3,0,0,0,0
114,4,0,0,0,0
154,5,0,0,0,0
194,6,0,0,0,0
234,7,0,0,0,0
274,8,0,0,0,0
314,9,0,0,0,0
354,10,0,0,0,0
394,11,0,0,0,0
434,12,0,0,0,0
474,13,0,0,0,0
514,14,0,0,0,0
554,15,0,0,0,0
594,16,0,0,0,0
634,17,0,0,0,0
674,18,0,0,0,0
714,19,0,0,0,0
754,20,0,0,0,0
794,21,0,0,0,0
834,22,0,0,0,0
874,23,0,0,0,0
914,24,0,0,0,0
954,25,0,0,0,0
994,26,0,0,0,0
1034,27,0,0,0,0
1074,28,0,0,0,0
1114,29,0,0,0,0
1154,30,0,0,0,0
1194,31,0,0,0,0
1234,32,0,0,0,0
1274,33,0,0,0,0
1314,34,0,0,0,0
1354,35,0,0,0,0
1394,36,0,0,0,0
1434,37,0,0,0,0
1474,38,0,0,0,0
1514,39,0,0,0,0
1554,40,0,0,0,0
# Contact at angle: 41
1594,41,1520,0,1520,1
# Contact at angle: 42
1634,42,1734,0,1734,1
# Contact at angle: 43
1674,43,1725,0,1725,1
# Contact at angle: 44
1714,44,1706,0,1706,1
# Contact at angle: 45
1754,45,1745,838,1745,1
# Contact at angle: 46
1794,46,1749,1694,1749,1
# Contact at angle: 47
1834,47,1798,2245,2245,1
# Contact at angle: 48
1874,48,1866,2321,2321,1
# Contact at angle: 49
1914,49,1803,2622,2622,1
# Contact at angle: 50
1954,50,1787,2839,2839,1
# Contact at angle: 51
1994,51,1810,2911,2911,1
# Contact at angle: 52
2034,52,1831,3025,3025,1
# FIRM GRASP at angle: 52
