---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
42,2,0,0,0,0
82,3,0,0,0,0
122,4,0,0,0,0
162,5,0,0,0,0
202,6,0,0,0,0
242,7,0,0,0,0
282,8,0,0,0,0
322,9,0,0,0,0
362,10,0,0,0,0
402,11,0,0,0,0
442,12,0,0,0,0
482,13,0,0,0,0
522,14,0,0,0,0
562,15,0,0,0,0
602,16,0,0,0,0
642,17,0,0,0,0
682,18,0,0,0,0
722,19,0,0,0,0
762,20,0,0,0,0
802,21,0,0,0,0
842,22,0,0,0,0
882,23,0,0,0,0
922,24,0,0,0,0
962,25,0,0,0,0
1002,26,0,0,0,0
1042,27,0,0,0,0
1082,28,0,0,0,0
1122,29,0,0,0,0
1162,30,0,0,0,0
1202,31,0,0,0,0
1242,32,0,0,0,0
1282,33,0,0,0,0
1322,34,0,0,0,0
1362,35,0,0,0,0
1402,36,0,0,0,0
1442,37,0,0,0,0
1482,38,0,0,0,0
1522,39,0,0,0,0
1562,40,0,0,0,0
1602,41,0,0,0,0
1642,42,0,0,0,0
1682,43,0,0,0,0
# Contact at angle: 44
1722,44,0,1313,1313,1
# Contact at angle: 45
1762,45,0,2416,2416,1
# Contact at angle: 46
1802,46,48,2673,2673,1
# Contact at angle: 47
1842,47,0,2736,2736,1
# Contact at angle: 48
1882,48,701,2829,2829,1
# Contact at angle: 49
1922,49,1083,2851,2851,1
# Contact at angle: 50
1962,50,1973,2853,2853,1
# Contact at angle: 51
2002,51,2085,2883,2883,1
# Contact at angle: 52
2042,52,2305,2986,2986,1
# Contact at angle: 53
2082,53,2354,3127,3127,1
# FIRM GRASP at angle: 53
