---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
32,2,0,0,0,0
72,3,0,0,0,0
112,4,0,0,0,0
152,5,0,0,0,0
192,6,0,0,0,0
232,7,0,0,0,0
272,8,0,0,0,0
312,9,0,0,0,0
352,10,0,0,0,0
392,11,0,0,0,0
432,12,0,0,0,0
472,13,0,0,0,0
512,14,0,0,0,0
552,15,0,0,0,0
592,16,0,0,0,0
632,17,0,0,0,0
672,18,0,0,0,0
712,19,0,0,0,0
752,20,0,0,0,0
792,21,0,0,0,0
832,22,0,0,0,0
872,23,0,0,0,0
912,24,0,0,0,0
952,25,0,0,0,0
992,26,0,0,0,0
1032,27,0,0,0,0
1072,28,0,0,0,0
1112,29,0,0,0,0
1152,30,0,0,0,0
1192,31,0,0,0,0
1232,32,0,0,0,0
1272,33,0,0,0,0
1312,34,0,0,0,0
1352,35,0,0,0,0
1392,36,0,0,0,0
1432,37,800,0,800,0
# Contact at angle: 38
1472,38,1351,0,1351,1
# Contact at angle: 39
1512,39,1754,27,1754,1
# Contact at angle: 40
1552,40,1799,1254,1799,1
# Contact at angle: 41
1592,41,1920,2246,2246,1
# Contact at angle: 42
1632,42,1955,2553,2553,1
# Contact at angle: 43
1672,43,2055,2736,2736,1
# Contact at angle: 44
1712,44,2126,2789,2789,1
# Contact at angle: 45
1752,45,2198,2863,2863,1
# Contact at angle: 46
1792,46,2250,2869,2869,1
# Contact at angle: 47
1832,47,2346,2927,2927,1
# Contact at angle: 48
1872,48,2287,2922,2922,1
# Contact at angle: 49
1912,49,2373,2994,2994,1
# Contact at angle: 50
1952,50,2542,2963,2963,1
# Contact at angle: 51
1992,51,2521,2978,2978,1
# Contact at angle: 52
2032,52,2497,3024,3024,1
# FIRM GRASP at angle: 52
