---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
30,2,0,0,0,0
70,3,0,0,0,0
110,4,0,0,0,0
150,5,0,0,0,0
190,6,0,0,0,0
230,7,0,0,0,0
270,8,0,0,0,0
310,9,0,0,0,0
350,10,0,0,0,0
390,11,0,0,0,0
430,12,0,0,0,0
470,13,0,0,0,0
510,14,0,0,0,0
550,15,0,0,0,0
590,16,0,0,0,0
630,17,0,0,0,0
670,18,0,0,0,0
710,19,0,0,0,0
750,20,0,0,0,0
790,21,0,0,0,0
830,22,0,0,0,0
870,23,0,0,0,0
910,24,0,0,0,0
950,25,0,0,0,0
990,26,0,0,0,0
1030,27,0,0,0,0
1070,28,0,0,0,0
1110,29,0,0,0,0
1150,30,0,0,0,0
1190,31,0,0,0,0
1230,32,0,0,0,0
1270,33,0,0,0,0
1310,34,0,0,0,0
1350,35,0,0,0,0
1390,36,0,0,0,0
1430,37,0,0,0,0
1470,38,0,0,0,0
1510,39,0,0,0,0
# Contact at angle: 40
1550,40,823,1567,1567,1
# Contact at angle: 41
1590,41,1392,1993,1993,1
# Contact at angle: 42
1630,42,1465,2116,2116,1
# Contact at angle: 43
1670,43,1918,2334,2334,1
# Contact at angle: 44
1710,44,1995,2429,2429,1
# Contact at angle: 45
1750,45,2038,2469,2469,1
# Contact at angle: 46
1790,46,2155,2803,2803,1
# Contact at angle: 47
1830,47,2153,2964,2964,1
# Contact at angle: 48
1870,48,2210,3023,3023,1
# FIRM GRASP at angle: 48
